EVENT,mFuelCost,mPos,mSelection
onClick,10.0,2,'Earth'
onClick,10.0,2,'Earth'
onClick,10.0,2,'Earth'
onItemSelected,1110.0,0,'Mercury'
onClick,1110.0,0,'Mercury'
onItemSelected,10.0,1,'Venus'
onItemSelected,1110.0,0,'Mercury'
onItemSelected,10.0,1,'Venus'
onClick,10.0,1,'Venus'
onItemSelected,10.0,2,'Earth'
onItemSelected,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onItemSelected,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,8,'Pluto'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,7,'Neptune'
onItemSelected,10.0,8,'Pluto'
onItemSelected,1110.0,0,'Mercury'
onClick,1110.0,0,'Mercury'
onItemSelected,10.0,7,'Neptune'
onClick,10.0,7,'Neptune'
onItemSelected,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onItemSelected,10.0,8,'Pluto'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,5,'Saturn'
onItemSelected,1110.0,0,'Mercury'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,7,'Neptune'
onClick,10.0,7,'Neptune'
onItemSelected,10.0,2,'Earth'
onItemSelected,110.0,3,'Mars'
onItemSelected,110.0,3,'Mars'
onItemSelected,110.0,3,'Mars'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,2,'Earth'
onClick,10.0,2,'Earth'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,6,'Uranus'
onItemSelected,10.0,1,'Venus'
onItemSelected,110.0,3,'Mars'
onItemSelected,10.0,8,'Pluto'
onItemSelected,10.0,7,'Neptune'
onItemSelected,10.0,8,'Pluto'
onItemSelected,10.0,8,'Pluto'
onItemSelected,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onItemSelected,10.0,1,'Venus'
onClick,10.0,1,'Venus'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,6,'Uranus'
onClick,10.0,6,'Uranus'
onItemSelected,10.0,7,'Neptune'
onItemSelected,110.0,3,'Mars'
onItemSelected,10.0,4,'Jupiter'
onItemSelected,10.0,2,'Earth'
onItemSelected,110.0,3,'Mars'
onClick,110.0,3,'Mars'
onItemSelected,10.0,1,'Venus'
onClick,10.0,1,'Venus'
onItemSelected,10.0,2,'Earth'
onClick,10.0,2,'Earth'
onItemSelected,10.0,7,'Neptune'
onItemSelected,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onClick,10.0,8,'Pluto'
onItemSelected,10.0,7,'Neptune'
onItemSelected,1110.0,0,'Mercury'
onItemSelected,10.0,2,'Earth'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,5,'Saturn'
onItemSelected,10.0,5,'Saturn'
onClick,10.0,5,'Saturn'
